label,problema,n_header,n_sonda,n_decision,n_footer,n_guard,n_jsonl,gate7_allclose,dmax_abs,n3_busca,n3_sonda,n_ger_arquivadas,n_ger_reais,n7,final_man,upload,motivo,status
BBOB_F1,BBOB_F1,1,1,828,2,0,832,True,1.931429807200402e-06,39655,20000,828,827,48,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
BBOB_F17,BBOB_F17,1,1,2461,2,0,2465,True,0.08487538178451359,38877,20000,2461,2460,29,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
BBOB_F22,BBOB_F22,1,1,1144,2,0,1148,True,0.009142642622464336,39436,20000,1144,1143,39,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
BBOB_F37,BBOB_F37,1,1,814,2,0,818,True,6.120704210843542e-05,39765,20000,814,813,50,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
BBOB_F49,BBOB_F49,1,1,919,2,0,923,True,8.247215464507462e-05,39595,20000,919,918,46,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
BBOB_F5,BBOB_F5,1,1,879,2,0,883,True,3.5672208468895406e-05,39561,20000,879,878,46,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
BBOB_F55,BBOB_F55,1,1,942,2,0,946,True,4.115710183327792e-06,39547,20000,942,941,44,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
DTLZ1,DTLZ1,1,1,870,2,0,874,True,0.00012615630697609959,39524,20000,870,869,51,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
DTLZ2,DTLZ2,1,1,504,2,0,508,True,6.532250651503091e-08,39791,20000,504,503,83,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
DTLZ3,DTLZ3,1,1,1077,2,0,1081,True,0.0003339429210882372,39397,20000,1077,1076,38,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
DTLZ4,DTLZ4,1,1,2312,2,0,2316,True,6.023990017922642e-08,38993,20000,2312,2311,14,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
DTLZ7,DTLZ7,1,1,785,2,0,789,True,5.571318624220112e-07,39563,20000,785,784,52,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
MMF1,MMF1,1,1,909,2,0,913,True,4.409999847299062e-06,39588,20000,909,908,44,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
MMF11_L,MMF11_L,1,1,848,2,0,852,True,3.9949145502760075e-07,39562,20000,848,847,48,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
MMF16_20,MMF16_20,1,1,595,2,0,599,True,2.580234368387835e-07,39690,20000,595,594,74,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
MMF4,MMF4,1,1,865,2,0,869,True,1.2555046124962388e-07,39569,20000,865,864,48,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
WFG1,WFG1,1,1,935,2,0,939,True,1.2094224643988127e-07,39594,20000,935,934,46,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
WFG2,WFG2,1,1,923,2,0,927,True,1.4927100409067862e-06,39567,20000,923,922,42,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
WFG4,WFG4,1,1,937,2,0,941,True,1.8168612625490965e-06,39574,20000,937,936,46,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
WFG5,WFG5,1,1,930,2,0,934,True,1.8406421409267182e-07,39572,20000,930,929,44,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
WFG9,WFG9,1,1,906,2,0,910,True,4.814744878345323e-07,39572,20000,906,905,45,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
ZDT1,ZDT1,1,1,878,2,0,882,True,5.8874038311174104e-08,39597,20000,878,877,47,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
ZDT3,ZDT3,1,1,921,2,0,925,True,9.930004276625937e-07,39588,20000,921,920,45,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
ZDT4,ZDT4,1,1,3845,2,0,3849,True,2.5424537994922503e-05,37997,20000,3845,3844,12,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
ZDT6,ZDT6,1,1,950,2,0,954,True,2.603319062544074e-07,39553,20000,950,949,38,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_medium-lhs_DTLZ2,DTLZ2,1,1,408,2,0,412,True,5.990601126271144e-08,39905,20000,408,407,100,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_medium-lhs_MMF16_20,MMF16_20,1,1,512,2,0,516,True,2.2411887856677026e-07,39775,20000,512,511,88,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_medium-lhs_WFG9,WFG9,1,1,905,2,0,909,True,1.8119070035460538e-06,39570,20000,905,904,44,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_medium-lhs_ZDT1,ZDT1,1,1,852,2,0,856,True,7.787069389308954e-08,39588,20000,852,851,48,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_medium-lhs_ZDT4,ZDT4,1,1,5465,2,0,5469,True,3.149028555071709e-05,37292,20000,5465,5464,8,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_medium-mvns_DTLZ2,DTLZ2,1,1,454,2,0,458,True,6.676927477577976e-08,39807,20000,454,453,88,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_medium-mvns_MMF16_20,MMF16_20,1,1,647,2,0,651,True,2.3731721698894148e-07,39660,20000,647,646,70,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_medium-mvns_WFG9,WFG9,1,1,954,2,0,958,True,2.716433238347804e-07,39547,20000,954,953,42,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_medium-mvns_ZDT1,ZDT1,1,1,864,2,0,868,True,7.534961232735782e-08,39606,20000,864,863,47,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_medium-mvns_ZDT4,ZDT4,1,1,3660,2,0,3664,True,1.6170481629274036e-05,38172,20000,3660,3659,15,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_small-lhs_DTLZ2,DTLZ2,1,1,504,2,0,508,True,6.532250651503091e-08,39791,20000,504,503,83,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_small-lhs_MMF16_20,MMF16_20,1,1,595,2,0,599,True,2.580234368387835e-07,39690,20000,595,594,74,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_small-lhs_WFG9,WFG9,1,1,906,2,0,910,True,4.814744878345323e-07,39572,20000,906,905,45,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_small-lhs_ZDT1,ZDT1,1,1,878,2,0,882,True,5.8874038311174104e-08,39597,20000,878,877,47,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_small-lhs_ZDT4,ZDT4,1,1,3845,2,0,3849,True,2.5424537994922503e-05,37997,20000,3845,3844,12,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_small-mvns_DTLZ2,DTLZ2,1,1,557,2,0,561,True,7.247007538513373e-08,39768,20000,557,556,78,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_small-mvns_MMF16_20,MMF16_20,1,1,507,2,0,511,True,2.4704217072013535e-07,39760,20000,507,506,86,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_small-mvns_WFG9,WFG9,1,1,944,2,0,948,True,2.5165745842770093e-07,39577,20000,944,943,46,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_small-mvns_ZDT1,ZDT1,1,1,854,2,0,858,True,7.573025251339516e-08,39595,20000,854,853,47,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
swap_small-mvns_ZDT4,ZDT4,1,1,5548,1,0,5551,True,3.054322525031239e-05,37340,20000,5548,5547,8,"[""avaliador"", ""camada"", ""convencao"", ""decisao"", ""fora_do_orcamento"", ""n_final"", ""n_nd_pos_real"", ""origem_camada"", ""orige",,orcamento,ok
