alg,label,assinatura,detalhe
b1,BBOB_F1,igual_copia=6,"{""exp_main_b1_BBOB_F1_42.jsonl"": ""igual_copia"", ""exp_main_b1_BBOB_F1_42.manifest.json"": ""igual_copia"", ""exp_main_b1_BBOB_F1_42__pop.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F1_42__real.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F1_42__surrogate.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F1_42__timing.parquet"": ""igual_copia""}"
b1,BBOB_F17,igual_copia=6,"{""exp_main_b1_BBOB_F17_42.jsonl"": ""igual_copia"", ""exp_main_b1_BBOB_F17_42.manifest.json"": ""igual_copia"", ""exp_main_b1_BBOB_F17_42__pop.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F17_42__real.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F17_42__surrogate.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F17_42__timing.parquet"": ""igual_copia""}"
b1,BBOB_F22,igual_copia=6,"{""exp_main_b1_BBOB_F22_42.jsonl"": ""igual_copia"", ""exp_main_b1_BBOB_F22_42.manifest.json"": ""igual_copia"", ""exp_main_b1_BBOB_F22_42__pop.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F22_42__real.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F22_42__surrogate.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F22_42__timing.parquet"": ""igual_copia""}"
b1,BBOB_F37,igual_copia=6,"{""exp_main_b1_BBOB_F37_42.jsonl"": ""igual_copia"", ""exp_main_b1_BBOB_F37_42.manifest.json"": ""igual_copia"", ""exp_main_b1_BBOB_F37_42__pop.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F37_42__real.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F37_42__surrogate.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F37_42__timing.parquet"": ""igual_copia""}"
b1,BBOB_F49,igual_copia=6,"{""exp_main_b1_BBOB_F49_42.jsonl"": ""igual_copia"", ""exp_main_b1_BBOB_F49_42.manifest.json"": ""igual_copia"", ""exp_main_b1_BBOB_F49_42__pop.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F49_42__real.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F49_42__surrogate.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F49_42__timing.parquet"": ""igual_copia""}"
b1,BBOB_F5,igual_copia=6,"{""exp_main_b1_BBOB_F5_42.jsonl"": ""igual_copia"", ""exp_main_b1_BBOB_F5_42.manifest.json"": ""igual_copia"", ""exp_main_b1_BBOB_F5_42__pop.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F5_42__real.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F5_42__surrogate.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F5_42__timing.parquet"": ""igual_copia""}"
b1,BBOB_F55,igual_copia=6,"{""exp_main_b1_BBOB_F55_42.jsonl"": ""igual_copia"", ""exp_main_b1_BBOB_F55_42.manifest.json"": ""igual_copia"", ""exp_main_b1_BBOB_F55_42__pop.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F55_42__real.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F55_42__surrogate.parquet"": ""igual_copia"", ""exp_main_b1_BBOB_F55_42__timing.parquet"": ""igual_copia""}"
b1,DTLZ1,igual_copia=6,"{""exp_main_b1_DTLZ1_42.jsonl"": ""igual_copia"", ""exp_main_b1_DTLZ1_42.manifest.json"": ""igual_copia"", ""exp_main_b1_DTLZ1_42__pop.parquet"": ""igual_copia"", ""exp_main_b1_DTLZ1_42__real.parquet"": ""igual_copia"", ""exp_main_b1_DTLZ1_42__surrogate.parquet"": ""igual_copia"", ""exp_main_b1_DTLZ1_42__timing.parquet"": ""igual_copia""}"
b1,DTLZ2,igual_copia=6,"{""exp_main_b1_DTLZ2_42.jsonl"": ""igual_copia"", ""exp_main_b1_DTLZ2_42.manifest.json"": ""igual_copia"", ""exp_main_b1_DTLZ2_42__pop.parquet"": ""igual_copia"", ""exp_main_b1_DTLZ2_42__real.parquet"": ""igual_copia"", ""exp_main_b1_DTLZ2_42__surrogate.parquet"": ""igual_copia"", ""exp_main_b1_DTLZ2_42__timing.parquet"": ""igual_copia""}"
b1,DTLZ3,igual_copia=6,"{""exp_main_b1_DTLZ3_42.jsonl"": ""igual_copia"", ""exp_main_b1_DTLZ3_42.manifest.json"": ""igual_copia"", ""exp_main_b1_DTLZ3_42__pop.parquet"": ""igual_copia"", ""exp_main_b1_DTLZ3_42__real.parquet"": ""igual_copia"", ""exp_main_b1_DTLZ3_42__surrogate.parquet"": ""igual_copia"", ""exp_main_b1_DTLZ3_42__timing.parquet"": ""igual_copia""}"
