config,celula,n_eventos_decision,di10_esperado,di10_encontrado,cobertura,n_chaves_header,n_chaves_sigma,chaves_gen,chaves_header
b1,BBOB_F1,0,lambda_vetor;ei_best;n_pool_ga,(nenhum),0/3,18,0,,D;IFEs;M;N_lambda;alg;algo;doe_hash;maxfe;problema;rec;regime;rho;semente;sigma_dict;subset;theta0;theta_bounds;ts
b3,BBOB_F1,0,apd_sel;sigma_sel;n_vetores_vazios;adapt_delta_V,(nenhum),0/4,16,0,,D;M;N_vetores;alg;algo;alpha;delta;doe_hash;maxfe;mu;problema;rec;regime;semente;ts;wmax
b4,BBOB_F1,0,solution_id;rr;tr,tr,1/3,17,0,,D;K_refs;M;N;alg;algo;doe_hash;exec_env;gmax;maxfe;operadores;problema;rec;regime;semente;treino;ts
b5m,BBOB_F1,801,p_wrong_stats,(nenhum),0/1,22,18,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao
b5r,BBOB_F1,828,p_wrong_stats,(nenhum),0/1,22,18,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao
c122,BBOB_F1,200,n_acordo;n_desacordo,n_acordo;n_desacordo,2/2,19,8,accs_p;accs_s;caminho;cid;dist_min_arquivo;e_z_escolhido;epocas_p;epocas_s;ez_cat_max;ez_cat_med;ez_cat_min;f_best;f_max;f_min;fe;fe_treino_max;geracao;motivo;n_acordo;n_cands;n_desacordo;n_front1;n_q1;n_q2;n_q3;n_ref;n_spin;pool_scf_max;pool_scf_med;pool_scf_min;rec;reinit_p;reinit_s;skip_treino_p;skip_treino_s;softmax_escolhido;tempo_busca_s;tempo_fit_s;ts,D;M;alg;ambiente;doe_hash;maxfe;n_init;n_ref;params;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;ts;versao
c141,BBOB_F1,0,n_por_nivel;hp_rbf,(nenhum),0/2,14,0,,D;M;N_subpop;alg;algo;doe_hash;maxfe;problema;rec;regime;semente;sigma_dict;ts;wmax
c149,BBOB_F1,200,hvi_top5;std_ensemble_sel,hvi_top5;std_ensemble_sel,2/2,18,10,acq_resF_mu_z_max;acq_resF_mu_z_min;acq_resF_sigma2_z_max;cache_hit;caminho;dist_min_arquivo;f_best;fe;geracao;hvi_escolhido;hvi_top5;lote_caminhos;lote_solution_ids;modelo_hp;motivo;mu_sel_nat;n_clamp_sigma2_iter;n_empatados;n_front1;n_front_acq;n_hvi_pos;q;rec;seed_nsga2;sigma2_agg_sel_z;solution_id;std_ensemble_sel;tempo_busca_s;tempo_fit_s;ts,D;M;alg;ambiente;doe_hash;maxfe;n_init;params;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;ts;versao
c154,BBOB_F1,201,acqf_todos_restarts;n_baseline;mll_final,acqf_todos_restarts;n_baseline,2/3,22,10,acqf_escolhido;acqf_todos_restarts;acqf_warnings;cache_hit;caminho;dist_min_arquivo;f_best;fe;fit_retries;hs_paths;it;lote_solution_ids;modelo_hp;motivo;n_front1;n_restarts;n_train;pf_amostrados_f;pf_shape;ps_shape;q;raw_samples;rec;rota;solution_id;t_busca_s;t_paths_s;tempo_busca_s;tempo_fit_s;torch_seed;ts,D;M;acqf_ref;alg;alg_id;algo_version;doe_hash;env;fused_kernel;maxfe;params;pinning;problema;rec;regime;rota_b95;ruido;run_id;semente;sigma_dict;sonda;ts
c217,BBOB_F1,0,n_best;n_worst;n_pmid,(nenhum),0/3,14,0,,D;M;N;alg;algo;delta;doe_hash;gmax;maxfe;problema;rec;regime;semente;ts
c238,BBOB_F1,0,eim_mediana_pool,(nenhum),0/1,19,0,,D;M;alg;algo;criterion;doe_hash;ga;kriging;maxfe;mle;nugget;problema;rec;regime;semente;sigma_dict;theta0;theta_bounds;ts
c262,BBOB_F1,201,acqf_todos_restarts;n_baseline;mll_final,acqf_todos_restarts;n_baseline,2/3,25,10,acqf_escolhido;acqf_todos_restarts;acqf_warnings;cache_hit;caminho;dist_min_arquivo;f_best;fe;fit_retries;h1;h2;it;lote_solution_ids;modelo_hp;motivo;n_baseline;n_front1;n_restarts;n_train;q;rec;solution_id;tempo_busca_s;tempo_fit_s;torch_seed;ts,D;M;acqf_ref_f;acqf_ref_max;alg;alg_id;algo_version;doe_hash;env;fused_kernel;ideal_s5;maxfe;nadir_s5;params;pinning;problema;rec;ref_fonte;regime;run_id;semente;sigma_dict;sonda;ts;warning_filter
c311,BBOB_F1,4,n_folhas;profundidade,n_folhas;profundidade,2/2,24,11,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;emitir_sonda;f_hash;maxfe;n_dataset;params;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao
e103,BBOB_F1,1,divergencia_modelos;margem_3sigma,(nenhum),0/2,21,0,caminho;fe;motivo;rec;ts,D;M;alg;algo;dataset_hash;f_hash;kriging;maxfe;n_dataset;params_balde_B;patches;ponte;problema;rbfn;rec;regime;semente;sigma_dict;ts;which_smoke;x_hash
e7,BBOB_F1,0,n_clusters_efetivo;cluster;loss_treino,(nenhum),0/3,21,0,,D;Ke;M;NW;N_pop;T;alg;algo;delta;doe_hash;dropP;maxfe;problema;rec;rede;regime;semente;sigma_dict;treino;ts;wmax
e74,BBOB_F1,0,n_por_nivel;k_local_efetivo,(nenhum),0/2,20,0,,D;M;N_estrategias;alg;algo;d74;divergencias_stock;doe_hash;init;maxfe;params_balde_B;patches;ponte;problema;rec;regime;semente;sigma_dict;ts;which_smoke
e81,BBOB_F1,200,n_train;draws,n_train;draws,2/2,19,11,assert_lote_eq_q;cache_hit;caminho;dist_min_arquivo;draws_thompson;dtype_check;f_best;fe;fit_retries;geracao;idx_escolhidos;iteracao;maximin_escolhido;modelo_hp;motivo;mu_sel_nat;n_front1;n_front_acq;n_lote;n_train;ngen;nystrom;q;rec;seed_gp;seed_nsga2;sigma_sel_nat;solution_id;tempo_busca_s;tempo_fit_s;ts,D;M;alg;ambiente;doe_hash;dtype_check;maxfe;n_init;params;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;ts;versao
moead,BBOB_F1,0,ideal;nadir,(nenhum),0/2,19,0,,D;M;N_nominal;N_origem;alg;algo;casamento;doe_hash;maxfe;operadores;piso;principio;problema;rec;regime;seeding;semente;surrogate;ts
moead_media,BBOB_F1,801,ideal;nadir,(nenhum),0/2,22,20,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao
nsga2,BBOB_F1,0,ideal;nadir,(nenhum),0/2,19,0,,D;M;N_nominal;N_origem;alg;algo;casamento;doe_hash;maxfe;operadores;piso;principio;problema;rec;regime;seeding;semente;surrogate;ts
nsga3,BBOB_F1,0,ideal;nadir,(nenhum),0/2,19,0,,D;M;N_nominal;N_origem;alg;algo;casamento;doe_hash;maxfe;operadores;piso;principio;problema;rec;regime;seeding;semente;surrogate;ts
smsemoa,BBOB_F1,0,ideal;nadir,(nenhum),0/2,19,0,,D;M;N_nominal;N_origem;alg;algo;casamento;doe_hash;maxfe;operadores;piso;principio;problema;rec;regime;seeding;semente;surrogate;ts
