config,celula,recs,di10_esperado,di10_encontrado,cobertura,n_chaves_universo,chaves_rec_principal
b1,BBOB_F1,b1_gen=204;footer=1;guard=14;header=1;sonda=103,lambda;ei_best;n_pool_ga,lambda;ei_best;n_pool_ga,3/3,67,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b3,BBOB_F1,b3_gen=40;footer=1;guard=5;header=1;sonda=22,apd_sel;sigma_sel;n_vetores_vazios;adapt_delta_V,apd_sel;sigma_sel;n_vetores_vazios,3/4,56,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b4,BBOB_F1,b4_gen=200;footer=1;guard=1;header=1;sonda=101,solution_id;rr;tr,solution_id;rr;tr,3/3,55,L_sel;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;guard_randperm;lote;modelo_hp;motivo;n_acumulado;n_front1;n_refs;n_treino;p0;p1;ramo;rec;ref_ids;rr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;tr;ts
b5m,BBOB_F1,decision=801;footer=2;header=1;sonda=1,p_wrong;peso,(NENHUM),0/2,82,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts
b5r,BBOB_F1,decision=828;footer=2;header=1;sonda=1,p_wrong,(NENHUM),0/1,82,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts
c122,BBOB_F1,decision=200;fit_inicial=1;footer=2;guard=1;header=1;sonda=101,n_acordo;n_desacordo,n_acordo;n_desacordo,2/2,134,accs_p;accs_s;caminho;cid;dist_min_arquivo;e_z_escolhido;epocas_p;epocas_s;ez_cat_max;ez_cat_med;ez_cat_min;f_best;f_max;f_min;fe;fe_treino_max;geracao;motivo;n_acordo;n_cands;n_desacordo;n_front1;n_q1;n_q2;n_q3;n_ref;n_spin;pool_scf_max;pool_scf_med;pool_scf_min;rec;reinit_p;reinit_s;skip_treino_p;skip_treino_s;softmax_escolhido;tempo_busca_s;tempo_fit_s;ts
c141,BBOB_F1,c141_gen=59;footer=1;guard=13;header=1;sonda=31,n_por_nivel;rbf,n_por_nivel,1/2,54,Q;U;U_pool_max;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;fit1;fit2;fit3;geracao;lote;modelo_hp;motivo;n_front1;n_front2;n_pool;n_por_nivel;n_sub1;n_sub2;nivel;ramo_QU;rec;tempo_busca_s;tempo_fit_s;tempo_geracao_s;ts
c149,BBOB_F1,decision=200;fit=200;footer=2;header=1;sonda=101,hvi_top5;std_ensemble_sel,hvi_top5;std_ensemble_sel,2/2,128,epocas;fe_treino_max;geracao;n_treino;rec;tempo_fit_s;ts;val_mse;z_mean;z_std
c154,BBOB_F1,decision=201;footer=2;guard=22;header=1;optimize_acqf_warning=201;rs_runtimeerror_fallback=221;sonda=102;timing=201,acqf_todos_restarts;n_baseline;mll_final,acqf_todos_restarts;n_baseline,2/3,125,amostra;degrau_falho;erro;it;max_tries;pop_size;rec;ts
c217,BBOB_F1,c217_gen=190;footer=1;guard=1;header=1;sonda=96,n_best;n_worst;pmid,n_best;n_worst;pmid,3/3,51,arc_size;delta;dist_min_arquivo;estado;f_best;fe;fe_treino_max;geracao;lote;modelo_hp;motivo;n_Pmid;n_best;n_contradicoes;n_front1;n_pares_treino;n_treino;n_worst;p_mais;p_menos;rec;score;tempo_busca_s;tempo_fit_s;tempo_geracao_s;ts
