problema,D,M,U1_fe_exato,U1_fe_index_denso,U1_sid_denso,U1_init,U1_opt,U1_init_ok,U1_opt_ok,U2_ndoe,U2_dX_f32,U2_dX_f64,U2_hash_ok,n_ger_manifesto,n_ger_jsonl,n_ger_pop,n_ger_timing,npop_sempre20,pop_20_por_ger,pop_dup_intra,N_nom,N_ef,dfe_igual20,dfe_total,dfe_valores,n_guards,n_cache_hit,guards_outros,ch_seeding,ch_seeding_sid_unicos,ch_evolucao,cache_hits_manifesto,cache_hits_bate,fechamento,ch_seed_repetido,ch_seed_rep_eh_pos0,ger_formula_T11,ger_formula_T11_ok,ger_formula_antiga,ger_formula_antiga_ok,ger_formula_ceil_F5,ger_formula_ceil_ok,ger_T11_mais1,tres_linhas,tres_cols,fit_series_vazio,sonda_status,sonda_nblocos,sigma_dict_presente,campanha_id_presente,repo_hash,schema_version,quinto_faltando,params_nkeys,params_ger_deriv_novo,n_footer,footer_termino,motivo_parada_no_5,campo_termino_mapa,mapa_termino_confere,evento_ger_mapa_ok,status,di10_campos_exigidos,di10_completo_em,di10_de,T_rows_ok,T_tempo_fit_s_nan,T_tempo_busca_s_nan,T_tempo_pred_sonda_s_nan,T_tger_pos,tempo_total_s,tempo_aval_real_s,soma_tger,tger_le_total,tger_4_eq_6,transicoes,elitismo_viol,entrantes_med,entrantes_max,rec_ideal_ok,rec_nadir_pop_ok,rec_n_front1_ok,rec_nadir_f1_ok,f32_divergentes,f32_dentro_envelope,empates_med_div,empates_med_conc,f_best_eq_ideal,seed_nfrentes_log,seed_nf1_log,seed_nfrentes_rec,seed_nf1_rec,seed_conjunto_ok,seed_f1_excede,patches,parameter_nenhum,operadores_hdr,algo_version,hdr_run_id,hdr_ambiente,hdr_sigma_dict
BBOB_F1,10,2,True,True,True,109,200,True,True,109,0.0,2.375113989927513e-07,False,11,11,11,11,True,True,0,20,20,10,10,[20],21,21,[],21,20,0,21,True,True,45,True,10,False,10,False,10,False,True,0,29,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",11,11,True,1.0,1.0,1.0,11,4.658452,0.08872600000000008,0.6004700064659119,True,True,10,0,10.6,13,0,0,11,0,0,11,,0.0,11,17,7,17,7,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
BBOB_F17,10,2,True,True,True,109,200,True,True,109,0.0,2.3787903291605517e-07,False,11,11,11,11,True,True,0,20,20,10,10,[20],21,21,[],21,20,0,21,True,True,4,True,10,False,10,False,10,False,True,0,29,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",11,11,True,1.0,1.0,1.0,11,4.556333,0.14178599999999997,0.6343870162963867,True,True,10,0,8.9,11,0,0,11,0,0,11,,0.0,11,14,6,14,6,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
BBOB_F22,10,2,True,True,True,109,200,True,True,109,0.0,2.345476923792944e-07,False,11,11,11,11,True,True,0,20,20,10,10,[20],21,21,[],21,20,0,21,True,True,14,True,10,False,10,False,10,False,True,0,29,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",11,11,True,1.0,1.0,1.0,11,4.754818,0.119017,0.5847370028495789,True,True,10,0,10.0,13,0,0,11,0,0,11,,0.0,11,20,5,20,5,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
BBOB_F37,10,2,True,True,True,109,200,True,True,109,0.0,2.3685163252906705e-07,False,11,11,11,11,True,True,0,20,20,10,10,[20],21,21,[],21,20,0,21,True,True,13,True,10,False,10,False,10,False,True,0,29,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",11,11,True,1.0,1.0,1.0,11,5.619991,0.1715900000000001,0.7128679752349854,True,True,10,0,9.2,13,0,0,11,0,0,11,,0.0,11,17,5,17,5,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
BBOB_F49,10,2,True,True,True,109,200,True,True,109,0.0,2.365150315597475e-07,False,11,11,11,11,True,True,0,20,20,10,10,[20],21,21,[],21,20,0,21,True,True,17,True,10,False,10,False,10,False,True,0,29,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",11,11,True,1.0,1.0,1.0,11,5.253073,0.6244990000000002,0.9781789779663086,True,True,10,0,6.6,11,0,0,11,0,0,11,,0.0,11,20,5,20,5,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
BBOB_F5,10,2,True,True,True,109,200,True,True,109,0.0,2.3727650955152058e-07,False,11,11,11,11,True,True,0,20,20,10,10,[20],21,21,[],21,20,0,21,True,True,13,True,10,False,10,False,10,False,True,0,29,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",11,11,True,1.0,1.0,1.0,11,4.591437,0.09748799999999984,0.6094269752502441,True,True,10,0,10.4,13,0,0,11,0,0,11,,0.0,11,22,7,22,7,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
BBOB_F55,10,2,True,True,True,109,200,True,True,109,0.0,2.3578255614609134e-07,False,11,11,11,11,True,True,0,20,20,10,10,[20],21,21,[],21,20,0,21,True,True,23,True,10,False,10,False,10,False,True,0,29,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",11,11,True,1.0,1.0,1.0,11,5.589761,1.1223630000000004,1.3667590618133545,True,True,10,0,7.2,11,0,0,11,0,0,11,,0.0,11,17,4,17,4,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
DTLZ1,7,3,True,True,True,76,140,True,True,76,0.0,2.968073053999376e-08,False,8,8,8,8,True,True,0,20,20,7,7,[20],21,21,[],21,20,0,21,True,True,32,True,7,False,7,False,7,False,True,0,28,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",8,8,True,1.0,1.0,1.0,8,5.498942,0.06519099999999994,1.784572958946228,True,True,7,0,8.857142857142858,11,3,0,8,0,0,8,,1.625,8,6,17,6,17,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
DTLZ2,12,3,True,True,True,131,240,True,True,131,0.0,2.976508484131557e-08,False,13,13,13,13,True,True,0,20,20,12,12,[20],21,21,[],21,20,0,21,True,True,3,True,12,False,12,False,12,False,True,0,33,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",13,13,True,1.0,1.0,1.0,13,5.323825,0.10965100000000003,1.4471009969711304,True,True,12,0,9.0,12,4,0,13,0,0,13,,0.5384615384615384,13,6,40,6,40,True,True,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
DTLZ3,12,3,True,True,True,131,240,True,True,131,0.0,2.9797159739608503e-08,False,13,13,13,13,True,True,0,20,20,12,12,[20],21,21,[],21,20,0,21,True,True,32,True,12,False,12,False,12,False,True,0,33,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",13,13,True,1.0,1.0,1.0,13,5.385262,0.13229600000000005,1.1098010540008545,True,True,12,0,8.166666666666666,11,10,0,13,0,0,13,,5.230769230769231,13,7,19,7,19,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
